Slno,Cate,Date
1,quick,22-07-2020
2,quick,22-07-2020
3,quick,23-07-2020
4,quick,23-07-2020
5,quick,23-07-2020
6,quick,23-07-2020
7,quick,23-07-2020
8,quick,23-07-2020
9,quick,23-07-2020
10,getting_started,23-07-2020
11,Big_Small,23-07-2020
12,Action,23-07-2020
13,Gesture,23-07-2020
14,Big_Small,23-07-2020
15,Things,23-07-2020
16,Wishes,23-07-2020
17,Action,23-07-2020
18,quick,23-07-2020
19,yes_no,23-07-2020
20,getting_started,23-07-2020
21,People,23-07-2020
22,Big_Small,23-07-2020
23,Action,23-07-2020
24,Wishes,23-07-2020
25,Gesture,23-07-2020
26,Things,23-07-2020
27,quick,23-07-2020
28,Action,23-07-2020
29,Wishes,23-07-2020
30,getting_started,23-07-2020
31,Things,23-07-2020
32,Big_Small,23-07-2020
